"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.01.2021","121.959","123.945","124.395","121.020","17,20M","-1,91%"
"12.01.2021","124.336","123.800","124.720","123.230","15,48M","0,99%"
"11.01.2021","123.120","124.500","124.915","122.460","17,32M","-1,60%"
"08.01.2021","125.127","123.150","125.470","122.365","17,07M","1,99%"
"07.01.2021","122.684","119.560","122.870","119.230","14,00M","2,94%"
"06.01.2021","119.180","119.220","121.075","118.895","16,81M","-0,18%"
"05.01.2021","119.393","118.990","119.965","116.765","15,26M","0,45%"
"04.01.2021","118.859","120.270","120.585","118.135","13,74M","-0,31%"
"30.12.2020","119.230","119.870","120.380","119.050","10,16M","-0,33%"
"29.12.2020","119.625","119.800","120.045","118.870","11,27M","0,28%"
"28.12.2020","119.292","118.500","119.420","118.330","9,46M","1,21%"
"23.12.2020","117.870","117.305","118.560","117.055","11,01M","0,93%"
"22.12.2020","116.786","116.300","117.135","115.750","13,59M","0,71%"
"21.12.2020","115.961","115.815","117.290","115.085","16,06M","-1,92%"
"18.12.2020","118.231","118.115","119.645","117.730","14,10M","-0,30%"
"17.12.2020","118.586","118.075","119.290","117.890","12,76M","0,61%"
"16.12.2020","117.870","116.280","117.870","115.345","13,09M","1,49%"
"15.12.2020","116.135","114.900","116.390","114.830","11,96M","1,37%"
"14.12.2020","114.569","115.665","115.950","114.320","14,43M","-0,47%"
"11.12.2020","115.115","114.350","115.550","113.915","13,52M","0,03%"
"10.12.2020","115.078","113.200","115.280","112.625","13,81M","1,85%"
"09.12.2020","112.983","114.040","114.190","112.455","15,76M","-0,68%"
"08.12.2020","113.754","113.120","114.385","112.750","14,26M","0,19%"
"07.12.2020","113.543","113.090","114.575","112.505","13,83M","-0,17%"
"04.12.2020","113.737","112.975","113.940","112.875","12,36M","1,40%"
"03.12.2020","112.164","111.805","113.440","111.750","14,55M","0,26%"
"02.12.2020","111.872","111.350","112.355","110.625","14,90M","0,33%"
"01.12.2020","111.499","110.690","111.965","110.325","13,42M","2,11%"
"30.11.2020","109.193","110.075","111.065","108.830","12,81M","-1,08%"
"27.11.2020","110.390","110.485","111.680","110.325","10,07M","0,07%"
"26.11.2020","110.316","109.915","110.385","109.405","7,94M","0,10%"
"25.11.2020","110.204","109.550","110.715","109.300","13,81M","0,23%"
"24.11.2020","109.955","108.115","110.055","107.575","12,63M","2,33%"
"23.11.2020","107.450","106.935","107.610","106.645","13,66M","1,36%"
"20.11.2020","106.013","106.845","107.115","105.705","12,58M","-0,80%"
"19.11.2020","106.869","105.850","107.140","105.580","14,43M","0,63%"
"18.11.2020","106.198","107.885","107.920","106.065","15,68M","-1,16%"
"17.11.2020","107.441","106.250","107.935","105.915","14,29M","0,82%"
"16.11.2020","106.566","106.250","106.780","105.275","14,49M","1,52%"
"13.11.2020","104.975","103.355","104.975","103.075","14,05M","2,38%"
"12.11.2020","102.534","104.855","105.250","102.145","14,90M","-2,16%"
"11.11.2020","104.797","105.410","105.565","104.245","15,81M","-0,27%"
"10.11.2020","105.079","103.500","105.940","103.390","17,22M","1,51%"
"09.11.2020","103.517","104.115","105.355","103.285","16,49M","2,38%"
"06.11.2020","101.110","100.395","101.275","99.990","14,07M","0,28%"
"05.11.2020","100.828","99.285","101.120","99.150","15,98M","2,95%"
"04.11.2020","97.935","96.155","98.470","96.155","16,28M","1,93%"
"03.11.2020","96.083","96.090","96.535","95.135","16,02M","2,17%"
"30.10.2020","94.042","95.505","96.340","93.630","17,83M","-2,66%"
"29.10.2020","96.608","95.235","96.895","93.555","17,78M","1,30%"
"28.10.2020","95.369","98.300","98.375","95.135","16,46M","-4,29%"
"27.10.2020","99.647","101.890","101.940","98.770","12,47M","-1,56%"
"26.10.2020","101.231","100.845","101.970","99.940","13,57M","-0,14%"
"23.10.2020","101.368","102.420","102.480","101.275","12,07M","-0,66%"
"22.10.2020","102.044","100.660","102.445","100.565","13,17M","1,37%"
"21.10.2020","100.662","100.500","101.875","100.280","13,98M","0,00%"
"20.10.2020","100.662","99.200","100.970","99.120","12,89M","1,86%"
"19.10.2020","98.825","99.150","100.170","98.570","12,87M","0,13%"
"16.10.2020","98.700","99.340","99.435","98.280","12,87M","-0,51%"
"15.10.2020","99.209","98.175","99.730","97.910","12,42M","-0,04%"
"14.10.2020","99.250","98.050","99.575","97.905","11,13M","0,71%"
"13.10.2020","98.552","98.180","99.050","97.210","14,62M","1,27%"
"09.10.2020","97.315","97.905","98.700","97.095","12,40M","-0,52%"
"08.10.2020","97.820","96.175","98.070","95.535","12,56M","2,48%"
"07.10.2020","95.456","96.240","96.435","94.760","14,55M","-0,10%"
"06.10.2020","95.548","96.725","97.480","95.125","15,65M","-0,60%"
"05.10.2020","96.120","94.155","96.465","93.660","13,16M","2,52%"
"02.10.2020","93.753","94.500","96.040","93.120","13,46M","-1,75%"
"01.10.2020","95.423","95.370","95.590","93.535","14,10M","0,37%"
"30.09.2020","95.075","93.375","95.385","93.155","14,27M","1,70%"
"29.09.2020","93.482","94.615","95.520","93.220","15,22M","-1,23%"
"28.09.2020","94.650","98.300","98.450","94.310","14,50M","-2,51%"
"25.09.2020","97.085","96.505","97.175","95.550","12,00M","0,08%"
"24.09.2020","97.012","95.400","98.080","95.300","13,34M","1,44%"
"23.09.2020","95.634","97.500","97.520","95.505","13,51M","-1,71%"
"22.09.2020","97.302","96.940","97.775","96.405","12,86M","0,21%"
"21.09.2020","97.102","96.720","97.370","95.820","12,98M","-1,01%"
"18.09.2020","98.090","100.100","100.155","97.960","13,07M","-2,10%"
"17.09.2020","100.192","98.850","100.390","98.565","12,09M","0,49%"
"16.09.2020","99.700","100.835","100.865","99.670","13,27M","-0,55%"
"15.09.2020","100.252","100.940","101.150","99.700","12,77M","-0,09%"
"14.09.2020","100.347","99.250","100.660","99.005","12,23M","2,08%"
"11.09.2020","98.302","99.250","99.560","97.790","14,33M","-0,46%"
"10.09.2020","98.755","100.990","101.690","98.310","14,24M","-2,68%"
"09.09.2020","101.471","100.780","101.840","100.560","12,22M","1,42%"
"08.09.2020","100.047","99.910","100.890","99.410","13,96M","-1,41%"
"04.09.2020","101.474","100.920","102.005","99.030","14,24M","0,60%"
"03.09.2020","100.866","102.095","103.445","99.830","15,23M","-1,22%"
"02.09.2020","102.108","102.600","103.090","100.940","11,87M","-0,08%"
"01.09.2020","102.190","100.465","102.465","100.295","10,88M","2,39%"
